,undlName,text
0,BHP.AX,moody's affirms bhp's ratings; outlook stable
3,RIO.AX,australia stock exchange release from rio tinto rio.ax: shares of pdmr
5,NAB.AX,australia stock exchange release from nat. bank nab.ax: cleansing notice
3,NAB.AX,australia stock exchange release from nat. bank nab.ax: a cum-div market has been established in nab.
2,NAB.AX,australia stock exchange release from nat. bank nab.ax: pre nr 10:25am open 10:40am asx trade access code: nabcd
9,ANZ.AX,"australia and new zealand banking group  anz.ax : jefferies cuts pt to a11.45 from a12.55, rating underperform"
8,ANZ.AX,australia and new zealand banking group  anz.ax : ubs cuts target price to a20 from a21
6,ANZ.AX,australia stock exchange release from australia and ne anz.ax: notice corporations act subsection 259c2
0,WOW.AX,"costs expected, tailwinds here to stay: jefferies upbeat on australia's woolworths"
5,TLS.AX,australia stock exchange release from telstra corporat tls.ax: appendix 2a
2,TCL.AX,australia stock exchange release from transurban group tcl.ax: transurban prices eur150m eurobond tap issuance
2,QBE.AX,australia stock exchange release from qbe insur. qbe.ax: change of director's interest notice
15,NCM.AX,"newcrest mining  ncm.ax : jefferies raises price target to a28.50 from a28.00, maintains hold rating"
12,NCM.AX,"australia's newcrest mining: jefferies raises pt, earnings outlook"
9,NCM.AX,australia stock exchange release from newcrest mining ncm.ax: newcrest successfully completes a1.0bn placement
8,NCM.AX,australia stock exchange release from newcrest mining ncm.ax: prenr ends: 09:58:31
6,NCM.AX,newcrest mining  - completes a1.0 bln fully underwritten institutional placement
5,NCM.AX,newcrest mining -  shares expected to resume normal trading on asx  pngx from market open on 1 may
4,NCM.AX,newcrest mining says completes a1.0 bln fully underwritten institutional placement
1,NCM.AX,gold miner newcrest slides after discounted equity raise; sp says good for balance sheet
6,CWN.AX,australia stock exchange release from crown resorts cwn.ax: becoming a substantial holder
3,CWN.AX,australia stock exchange release from crown resorts cwn.ax: ceasing to be a substantial holder
26,ORG.AX,australia stock exchange release from origin energy org.ax: strategic partnership to transform origin retail business
25,ORG.AX,australia stock exchange release from origin energy org.ax: prenr ends: 08:27:20
23,ORG.AX,origin energy  -  established a strategic partnership with octopus energy
19,ORG.AX,origin energy - proposed deal for staged consideration 134 mln on completion and 373 mln over four financial years
18,ORG.AX,"origin energy- will acquire a 20 interest in octopus  a licence in australia to its customer platform, kraken"
17,ORG.AX,"origin energy - over next 24-30 months, co will transfer its 3.8 mln retail electricity  gas customer accounts to kraken platform"
16,ORG.AX,origin energy - targeting pre-tax cash savings of 70-80 mln in fy2022 from deal
15,ORG.AX,origin energy  -  will appoint one director and an observer to octopus board
14,ORG.AX,origin energy - sees pre-tax cash savings increasing to 100-150 mln annually from fy2024 from deal
12,ORG.AX,"origin energy- to provide 3-yr guarantee to support octopus working capital facility of upto 160 mln in 1st 2 yrs, reducing to max 110 mln in yr 3"
13,ORG.AX,origin energy  - transaction expected to deliver returns materially above cost of capital
22,ORG.AX,australia stock exchange release from origin energy org.ax: strategic partnership with octopus energy
21,ORG.AX,australia stock exchange release from origin energy org.ax: prenr ends: 08:27:40
6,ORG.AX,moody's affirms origin energy' baa2p-2 ratings; outlook remains stable
3,ORG.AX,australia's origin energy to buy 20 stake in uk's octopus energy
0,REA.AX,"jefferies downgrades rea group to 'hold', warns of weaker property listings this year"
2,COH.AX,australia stock exchange release from cochlear coh.ax: change in substantial 
4,S32.AX,alliance aviation services  -  alliance has entered into a new airline services contract with south32 group
1,S32.AX,alliance aviation services  -  for next 10 years co will also be servicing south32's charter requirements from darwin
2,S32.AX,alliance aviation services  -  co  to be agent for each of south32 cannington pty  cannington and groote eylandt mining company pty 
0,S32.AX,alliance aviation services has entered into a new airline services contract with south32
5,LLC.AX,australia stock exchange release from lendlease group llc.ax: appendix 2a
3,LLC.AX,australia stock exchange release from lendlease group llc.ax: change of director's interest notice
