,undlName,text
3,2318.HK,china's ping an insurance falls as q1 profit slumps
24,0005.HK,hsbc s plc  - changes to board and committee composition
23,0005.HK,hsbc - appointment of steven guggenheimer as an independent non-executive director
22,0005.HK,hsbc - kathleen louise casey does not intend to seek re-election to board at company's annual general meeting on 24 april 2020
21,0005.HK,hsbc -  kathleen louise casey will formally retire from board at conclusion of agm
11,0005.HK,hsbc -  announced appointment of steven steve guggenheimer as independent non-executive director
10,0005.HK,hsbc -  appointment will take effect from 1 may 2020
9,0005.HK,hsbc -  kathleen louise casey kathy does not intend to seek re-election at agm
2,1997.HK,wharf real estate investment company sees loss for hy
0,1997.HK,hk-listed wharf reic falls on weak h1 earnings forecast
