,undlName,text
12,BHP.AX,"1-bhp sticks with spending strategy, rio eyes ma amid coronavirus shock"
11,BHP.AX,fitch affirms bhp at 'a'; outlook stable
8,BHP.AX,bhp group  bhp.ax : ubs upgrades to buy from neutral; cuts price target to a38 from a39
7,BHP.AX,"ubs upgrades bhp to a buy, sees consistent payouts"
3,BHP.AX,bhp bhpb.l: ubs raises to buy from neutral; cuts price target to 1700p from 1800p
2,BHP.AX,"norway wealth fund says putting under observation for possible exclusion at a later point bhp, vistra, enel and uniper, also for their use and production of coal"
62,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: march quarter 2020 trading update
8,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: cup: cba sale of 55 stake in colonial first state
10,CBA.AX,australia stock exchange release from countplus cup.ax: cba sale of 55 stake in colonial first state
12,CBA.AX,"2-australia's cba takes 970 mln covid-hit, sells control of wealth unit to kkr"
22,CBA.AX,cba sells 55 stake in unit colonial first state to kkr for 1.1 bln
30,CBA.AX,cba -  will result in cba receiving cash proceeds of approximately 1.7 bln from kkr
24,CBA.AX,cba- transaction not expected to have any impact on ongoing remediation activities that relate to cfs
25,CBA.AX,cba - completion is expected to occur in first half of calendar year 2021
26,CBA.AX,cba- sale price estimated to result in a post-tax gain on sale of about 1.5 bln
27,CBA.AX,cba -  transaction is expected to deliver an increase of about 1.4-1.9 bln of common equity tier 1 capital
29,CBA.AX,cba- cba and kkr intend to undertake a significant investment program
31,CBA.AX,cba -  transaction implies a total valuation for cfs on a 100 basis of 3.3 bln
32,CBA.AX,cba -  announces agreement to sell 55 stake in colonial first state to kkr
33,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: prenr ends: 08:58:56
34,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: cba announces agreement to sell 55 stake in cfs to kkr
36,CBA.AX,"cba - increased provisions for future loan losses by 1.5 bln, bringing total provisions for future losses to 6.4 bln"
43,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: march quarter 2020 trading ceo video transcript
45,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: prenr ends: 08:54:20
61,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: prenr ends: 08:50:35
59,CBA.AX,cba - qtrly loan impairment expense   1.6bn
58,CBA.AX,cba- qtrly unaudited statutory net profit about 1.3 bln vs 1.75 bln reported last year
57,CBA.AX,cba -  additional loan loss provisions of 1.5bn for potential impact of covid-19 on our customers
56,CBA.AX,cba - qtrly cash profit from cont ops about 1.3 bln vs 1.70 bln reported last year
55,CBA.AX,"cba- as at march 31, common equity tier 1 ratio 10.7"
37,CBA.AX,"australia's commonwealth bank profit drops 23.5, keeps 971 mln for loan losses"
51,CBA.AX,cba - qtrly net interest margin was lower than 1h20
47,CBA.AX,"cba -  well placed to manage challenging market conditions, with strong balance sheet settings  favourable business mix"
40,CBA.AX,"cba -  increased covid-19 related staffing levels, among others will impact costs in q4 and potentially into fy21"
41,CBA.AX,"cba -  since onset of covid-19 pandemic, package of support measures included repayment deferrals on about 240,000 loans"
54,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: march quarter 2020 trading presentation
53,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: prenr ends: 08:51:40
46,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: march quarter 2020 basel iii pillar 3
48,CBA.AX,cba - troublesome and impaired assets were higher at 8.1 bln at march end
3,CBA.AX,"australian shares end higher as commonwealth bank, miners gain"
11,RIO.AX,"1-bhp sticks with spending strategy, rio eyes ma amid coronavirus shock"
7,RIO.AX,"jefferies says rio tinto's dividend will be supportive in downturns, reiterates 'buy' rating"
6,RIO.AX,australia stock exchange release from rio tinto rio.ax: rio tinto chief executive- conference announcement
2,WBC.AX,australia stock exchange release from westpac banking wbc.ax: appendix 3g
4,NAB.AX,australia stock exchange release from nat. bank nab.ax: appendix 3y - change of director's interest notice
16,MQG.AX,australia stock exchange release from macquarie group mqg.ax: macquarie bank capital notes 2 bookbuild
12,MQG.AX,australia stock exchange release from new century reso ncz.ax: becoming a substantial holder from mqg
11,MQG.AX,australia stock exchange release from macquarie group mqg.ax: becoming a substantial holder for ncz
15,MQG.AX,macquarie bank announces completion of bookbuild for macquarie bank capital notes 2 offer
8,WOW.AX,"australia stock exchange release from woolworths group wow.ax: 1bn australian bond issue, refinancing future maturities"
7,WOW.AX,"woolworths group  - 1bn australian bond issue, refinancing future maturities-wow.ax"
1,WOW.AX,woolworths - settlement of notes expected to occur on 20 may
2,WOW.AX,woolworths - interest rate on notes is below woolworths group's current average cost of debt
3,WOW.AX,woolworths - notes were priced at 1.85 for five year notes and 2.80 for ten year note
4,WOW.AX,woolworths - will use proceeds from notes for refinancing of future debt maturities of about 1 bln later in cy2020
5,WOW.AX,woolworths - priced 400 mln of senior unsecured five year notes  600 mln of ten year notes under euro medium term note programme
2,TCL.AX,australia stock exchange release from transurban group tcl.ax: financial close on eur150m eurobond tap issuance
15,SGP.AX,australia stock exchange release from stockland sgp.ax: stockland 3q update
14,SGP.AX,australia stock exchange release from stockland sgp.ax: prenr ends: 09:01:55
12,SGP.AX,australia stock exchange release from stockland sgp.ax: stockland 3q presentation
11,SGP.AX,australia stock exchange release from stockland sgp.ax: prenr ends: 09:02:45
9,SGP.AX,stockland corp - board and executive team taken 20 voluntary pay reduction for two months starting may
8,SGP.AX,stockland corp-  implemented accelerated leave program that will have most people take 10 days of leave from 1 april to 30 june
2,SGP.AX,stockland corp says board and executive team taken 20 voluntary pay reduction for two months
2,IPL.AX,australia stock exchange release from incitec pv ipl.ax: becoming a substantial holder
0,SCG.AX,fitch revises outlook on australia's scentre to 'negative' on structural retail challenges
2,AMC.AX,morgans raises pt of amcor's aussie shares; co upgrades earnings forecast
1,AMC.AX,amcor plc amcr.n: citigroup cuts price target to 10 from 11.6
